,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
2456,GCA_000637955.1,Staphylococcus aureus 47P9,sus scrofa,bodily fluid,,,,2627,,allpaths v. R48559,SAMN02391423,47P9,,,Scaffold,6,137847,,33.0,93.0,40,39,98.46,0.4,v1.2.3,PRJNA226551,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637955.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2457,GCA_000637975.1,Staphylococcus aureus 5670-1,sus scrofa,bodily fluid,,,,2641,,allpaths v. R48559,SAMN02391211,5670-1,,,Scaffold,5,206867,,33.0,91.0,40,39,98.78,0.45,v1.2.3,PRJNA226337,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637975.1,,Italy,,Bodily fluid; Nose,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2458,GCA_000638015.1,Staphylococcus aureus 56824-15,bos taurus,bodily fluid,,,,2607,,allpaths v. R48559,SAMN02391238,56824-15,,,Scaffold,4,217984,,33.0,90.0,36,34,98.73,0.97,v1.2.3,PRJNA226364,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638015.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2459,GCA_000638035.1,Staphylococcus aureus 56824-2,bos taurus,bodily fluid,,,,2563,,allpaths v. R48559,SAMN02391234,56824-2,,,Scaffold,6,188509,,33.0,87.0,37,32,98.98,0.45,v1.2.3,PRJNA226360,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638035.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2460,GCA_000638055.1,Staphylococcus aureus 56824-21,bos taurus,bodily fluid,,,,2652,,allpaths v. R48559,SAMN02391239,56824-21,,,Scaffold,6,135022,,33.0,94.0,48,45,98.75,0.77,v1.2.3,PRJNA226365,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638055.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2461,GCA_000638075.1,Staphylococcus aureus 56824-5,bos taurus,bodily fluid,,,,2678,,allpaths v. R48559,SAMN02391235,56824-5,,,Scaffold,4,194453,,33.0,90.0,35,34,98.73,0.39,v1.2.3,PRJNA226361,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638075.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2462,GCA_000638095.1,Staphylococcus aureus 56824-7,bos taurus,bodily fluid,,,,2681,,allpaths v. R48559,SAMN02391236,56824-7,,,Scaffold,4,240221,,33.0,89.0,39,36,98.64,0.39,v1.2.3,PRJNA226362,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638095.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2463,GCA_000638135.1,Staphylococcus aureus 6665-5,sus scrofa,bodily fluid,,,,2635,,allpaths v. R48559,SAMN02391212,6665-5,,,Scaffold,4,212059,,33.0,91.0,33,32,98.78,0.45,v1.2.3,PRJNA226338,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638135.1,,Italy,,Bodily fluid; Nose,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2464,GCA_000638155.1,Staphylococcus aureus 75495-3,sus scrofa,bodily fluid,,,,2666,,allpaths v. R48559,SAMN02391222,75495-3,,,Scaffold,4,210840,,33.0,94.0,47,46,98.74,0.39,v1.2.3,PRJNA226348,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638155.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2465,GCA_000638175.1,Staphylococcus aureus 76669-6,sus scrofa,bodily fluid,,,,2567,,allpaths v. R48559,SAMN02391223,76669-6,,,Scaffold,5,206471,,33.0,87.0,40,37,98.78,0.39,v1.2.3,PRJNA226349,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638175.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2466,GCA_000638215.1,Staphylococcus aureus 81070,homo sapiens,bodily fluid,,,,2683,,allpaths v. R48559,SAMN02391151,81070,,,Scaffold,6,135022,,33.0,90.0,46,43,98.67,0.75,v1.2.3,PRJNA226277,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638215.1,,Denmark,,Bodily fluid; Blood,,Human,,Human,Sick,"Human, Homo sapiens",Homo sapiens
2467,GCA_000638235.1,Staphylococcus aureus 84069-2,sus scrofa,bodily fluid,,,,2683,,allpaths v. R48559,SAMN02391224,84069-2,,,Scaffold,5,201512,,33.0,89.0,35,32,98.78,0.58,v1.2.3,PRJNA226350,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638235.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2468,GCA_000638255.1,Staphylococcus aureus 86770-7,sus scrofa,bodily fluid,,,,2614,,allpaths v. R48559,SAMN02391225,86770-7,,,Scaffold,5,170685,,33.0,90.0,41,37,98.78,0.39,v1.2.3,PRJNA226351,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638255.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2469,GCA_000638275.1,Staphylococcus aureus 87807-1,bos taurus,bodily fluid,,,,2632,,allpaths v. R48559,SAMN02391216,87807-1,,,Scaffold,4,201379,,33.0,89.0,33,31,98.05,0.39,v1.2.3,PRJNA226342,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638275.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2470,GCA_000638295.1,Staphylococcus aureus 87807-11,bos taurus,bodily fluid,,,,2613,,allpaths v. R48559,SAMN02391217,87807-11,,,Scaffold,8,113289,,33.0,93.0,48,44,97.49,0.48,v1.2.3,PRJNA226343,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638295.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2471,GCA_000638315.1,Staphylococcus aureus 87807-12,bos taurus,bodily fluid,,,,2606,,allpaths v. R48559,SAMN02391219,87807-12,,,Scaffold,7,137312,,33.0,89.0,45,41,98.78,0.45,v1.2.3,PRJNA226345,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638315.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2472,GCA_000638335.1,Staphylococcus aureus 87807-16,bos taurus,bodily fluid,,,,2619,,allpaths v. R48559,SAMN02391220,87807-16,,,Scaffold,4,147726,,33.0,100.0,39,38,98.74,0.39,v1.2.3,PRJNA226346,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638335.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2473,GCA_000638355.1,Staphylococcus aureus 87807-9,bos taurus,bodily fluid,,,,2656,,allpaths v. R48559,SAMN02391218,87807-9,,,Scaffold,4,235979,,33.0,87.0,33,29,98.2,0.45,v1.2.3,PRJNA226344,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000638355.1,,Italy,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2474,GCA_000638375.1,Staphylococcus aureus 88088-1,sus scrofa,bodily fluid,,,,2669,,allpaths v. R48559,SAMN02391226,88088-1,,,Scaffold,5,218173,,33.0,94.0,48,43,98.78,0.75,v1.2.3,PRJNA226352,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638375.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2475,GCA_000638395.1,Staphylococcus aureus 88088-2,sus scrofa,bodily fluid,,,,2639,,allpaths v. R48559,SAMN02391227,88088-2,,,Scaffold,6,137850,,33.0,92.0,46,44,98.2,0.39,v1.2.3,PRJNA226353,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638395.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2476,GCA_000638415.1,Staphylococcus aureus 9P9,sus scrofa,bodily fluid,,,,2559,,allpaths v. R48559,SAMN02391413,9P9,,,Scaffold,4,276047,,33.0,93.0,33,31,98.46,0.42,v1.2.3,PRJNA226541,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638415.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2477,GCA_000539215.1,Staphylococcus aureus AGEN6033,homo sapiens,blood,,,,2770,,allpaths v. R48275,SAMN02381513,AGEN6033,,,Scaffold,4,382641,,33.0,106.0,26,24,98.75,0.45,v1.2.3,PRJNA223772,,homo sapiens | blood,human,blood,GCA_000539215.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2478,GCA_000542175.1,Staphylococcus aureus AGEN6042,homo sapiens,blood,,,,2795,,allpaths v. R48275,SAMN02381723,AGEN6042,,,Scaffold,2,473459,,33.0,102.0,23,21,98.67,0.58,v1.2.3,PRJNA223984,,homo sapiens | blood,human,blood,GCA_000542175.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2479,GCA_000539395.1,Staphylococcus aureus AMMC6002,homo sapiens,,,,,2763,,allpaths v. R48275,SAMN02381522,AMMC6002,,,Scaffold,2,661715,,32.5,112.0,13,11,97.84,0.39,v1.2.4,PRJNA223781,,homo sapiens,human,,GCA_000539395.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2480,GCA_000539415.1,Staphylococcus aureus AMMC6003,homo sapiens,,,,,2821,,allpaths v. R48275,SAMN02381523,AMMC6003,,,Scaffold,3,441541,,33.0,117.0,20,19,97.92,0.39,v1.2.3,PRJNA223782,,homo sapiens,human,,GCA_000539415.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2481,GCA_000539475.1,Staphylococcus aureus AMMC6008,homo sapiens,,,,,2801,,allpaths v. R48275,SAMN02381526,AMMC6008,,,Scaffold,2,684829,,32.5,97.0,16,15,97.99,0.39,v1.2.4,PRJNA223785,,homo sapiens,human,,GCA_000539475.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2482,GCA_000539455.1,Staphylococcus aureus AMMC6011,homo sapiens,,,,,2795,,allpaths v. R48275,SAMN02381525,AMMC6011,,,Scaffold,2,595965,,32.5,119.0,22,19,97.99,0.39,v1.2.3,PRJNA223784,,homo sapiens,human,,GCA_000539455.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2483,GCA_000539915.1,Staphylococcus aureus AMMC6012,homo sapiens,,,,,2789,,allpaths v. R48275,SAMN02381554,AMMC6012,,,Scaffold,5,226523,,33.0,119.0,34,30,98.87,0.39,v1.2.3,PRJNA223813,,homo sapiens,human,,GCA_000539915.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2484,GCA_000539855.1,Staphylococcus aureus AMMC6013,homo sapiens,,,,,2711,,allpaths v. R48275,SAMN02381547,AMMC6013,,,Scaffold,3,383073,,33.0,118.0,21,17,98.57,0.39,v1.2.3,PRJNA223806,,homo sapiens,human,,GCA_000539855.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2485,GCA_000539835.1,Staphylococcus aureus AMMC6014,homo sapiens,,,,,2777,,allpaths v. R48275,SAMN02381546,AMMC6014,,,Scaffold,5,244364,,33.0,119.0,29,26,98.55,0.58,v1.2.3,PRJNA223805,,homo sapiens,human,,GCA_000539835.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2486,GCA_000539815.1,Staphylococcus aureus AMMC6015,homo sapiens,,,,,2786,,allpaths v. R48275,SAMN02381545,AMMC6015,,,Scaffold,1,2086633,,32.5,117.0,16,15,97.99,0.39,v1.2.3,PRJNA223804,,homo sapiens,human,,GCA_000539815.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2487,GCA_000537995.1,Staphylococcus aureus AMMC6040,homo sapiens,sputum,,,,2749,,allpaths v. R48275,SAMN02381428,AMMC6040,,,Scaffold,1,1543061,,32.5,112.0,10,9,97.99,0.39,v1.2.3,PRJNA223687,,homo sapiens | sputum,human,sputum,GCA_000537995.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2488,GCA_000538035.1,Staphylococcus aureus AMMC6051,homo sapiens,blood,,,,2791,,allpaths v. R48268,SAMN02381431,AMMC6051,,,Scaffold,2,693447,,32.5,106.0,18,17,97.99,0.39,v1.2.4,PRJNA223690,,homo sapiens | blood,human,blood,GCA_000538035.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2489,GCA_000538155.1,Staphylococcus aureus AMMC6054,homo sapiens,sputum,,,,2708,,allpaths v. R48275,SAMN02381439,AMMC6054,,,Scaffold,3,326655,,33.0,118.0,18,16,98.43,0.39,v1.2.4,PRJNA223698,,homo sapiens | sputum,human,sputum,GCA_000538155.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2490,GCA_000538535.1,Staphylococcus aureus AMMC6068,homo sapiens,wound,,,,2782,,allpaths v. R48275,SAMN02381464,AMMC6068,,,Scaffold,6,220133,,33.0,108.0,36,35,98.87,0.39,v1.2.3,PRJNA223723,,homo sapiens | wound,human,wound,GCA_000538535.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2491,GCA_000538975.1,Staphylococcus aureus AMMC6070,homo sapiens,wound,,,,2846,,allpaths v. R48275,SAMN02381499,AMMC6070,,,Scaffold,2,553890,,32.5,113.0,16,15,97.99,0.39,v1.2.4,PRJNA223758,,homo sapiens | wound,human,wound,GCA_000538975.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2492,GCA_000538995.1,Staphylococcus aureus AMMC6071,homo sapiens,sputum,,,,2753,,allpaths v. R48275,SAMN02381500,AMMC6071,,,Scaffold,2,693515,,32.5,99.0,8,7,97.99,0.39,v1.2.4,PRJNA223759,,homo sapiens | sputum,human,sputum,GCA_000538995.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2493,GCA_000539015.1,Staphylococcus aureus AMMC6072,homo sapiens,blood,,,,2767,,allpaths v. R48275,SAMN02381501,AMMC6072,,,Scaffold,1,1955085,,32.5,104.0,15,13,97.94,0.39,v1.2.3,PRJNA223760,,homo sapiens | blood,human,blood,GCA_000539015.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2494,GCA_000539035.1,Staphylococcus aureus AMMC6074,homo sapiens,blood,,,,2871,,allpaths v. R48275,SAMN02381503,AMMC6074,,,Scaffold,5,247450,,33.0,119.0,38,33,98.23,0.45,v1.2.3,PRJNA223762,,homo sapiens | blood,human,blood,GCA_000539035.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2495,GCA_000539055.1,Staphylococcus aureus AMMC6075,homo sapiens,wound,,,,2742,,allpaths v. R48275,SAMN02381504,AMMC6075,,,Scaffold,2,553229,,32.5,112.0,15,14,97.93,0.39,v1.2.4,PRJNA223763,,homo sapiens | wound,human,wound,GCA_000539055.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2496,GCA_000541455.1,Staphylococcus aureus AMMC6106,homo sapiens,sputum,,,,2755,,allpaths v. R48275,SAMN02381679,AMMC6106,,,Scaffold,5,241001,,33.0,119.0,27,25,98.72,0.45,v1.2.3,PRJNA223938,,homo sapiens | sputum,human,sputum,GCA_000541455.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2497,GCA_000541595.1,Staphylococcus aureus AMMC6111,homo sapiens,sputum,,,,2711,,allpaths v. R48275,SAMN02381691,AMMC6111,,,Scaffold,7,160146,,33.0,122.0,41,36,98.67,0.39,v1.2.4,PRJNA223952,,homo sapiens | sputum,human,sputum,GCA_000541595.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2498,GCA_000541735.1,Staphylococcus aureus AMMC6119,homo sapiens,sputum,,,,2786,,allpaths v. R48275,SAMN02381699,AMMC6119,,,Scaffold,6,154235,,33.0,122.0,40,36,98.67,0.39,v1.2.3,PRJNA223960,,homo sapiens | sputum,human,sputum,GCA_000541735.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2499,GCA_000638435.1,Staphylococcus aureus BG407,homo sapiens,bodily fluid,,,,2660,,allpaths v. R48559,SAMN02391210,BG407,,,Scaffold,6,165590,,33.0,89.0,48,45,98.34,0.39,v1.2.3,PRJNA226336,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638435.1,,Italy,,Bodily fluid; Blood,,Human,,Human,Sick,"Human, Homo sapiens",Homo sapiens
2500,GCA_000638455.1,Staphylococcus aureus C0630,gallus gallus,bodily fluid,,,,2672,,allpaths v. R48559,SAMN02391335,C0630,,,Scaffold,5,191318,,33.0,88.0,33,31,98.85,0.41,v1.2.3,PRJNA226463,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000638455.1,,Hong kong,,Bodily fluid,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2501,GCA_000638475.1,Staphylococcus aureus C0637,gallus gallus,bodily fluid,,,,2673,,allpaths v. R48559,SAMN02391336,C0637,,,Scaffold,4,230166,,33.0,90.0,31,28,98.85,0.39,v1.2.3,PRJNA226464,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000638475.1,,Hong kong,,Bodily fluid,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2502,GCA_000638515.1,Staphylococcus aureus C1655,sus scrofa,bodily fluid,,,,2644,,allpaths v. R48559,SAMN02391293,C1655,,,Scaffold,6,179945,,33.0,91.0,33,31,98.62,0.49,v1.2.3,PRJNA226419,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638515.1,,Spain,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2503,GCA_000638535.1,Staphylococcus aureus C1673,homo sapiens,bodily fluid,,,,2692,,allpaths v. R48559,SAMN02391297,C1673,,,Scaffold,6,173467,,33.0,88.0,42,41,98.69,0.47,v1.2.3,PRJNA226423,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638535.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2504,GCA_000638575.1,Staphylococcus aureus C1891,,bodily fluid,,,,2750,,allpaths v. R48559,SAMN02391285,C1891,,,Scaffold,5,162254,,33.0,91.0,42,41,98.69,0.39,v1.2.3,PRJNA226411,,bodily fluid,,,GCA_000638575.1,,Spain,,food,,,,,,,
2505,GCA_000638595.1,Staphylococcus aureus C1894,,bodily fluid,,,,2667,,allpaths v. R48559,SAMN02391286,C1894,,,Scaffold,6,175045,,33.0,89.0,40,36,98.69,0.39,v1.2.3,PRJNA226412,,bodily fluid,,,GCA_000638595.1,,Spain,,food,,,,,,,
2506,GCA_000638615.1,Staphylococcus aureus C2549,homo sapiens,bodily fluid,,,,2548,,allpaths v. R48559,SAMN02391308,C2549,,,Scaffold,4,215105,,33.0,88.0,32,29,98.7,0.39,v1.2.3,PRJNA226435,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638615.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2507,GCA_000638635.1,Staphylococcus aureus C2679,homo sapiens,bodily fluid,,,,2531,,allpaths v. R48559,SAMN02391309,C2679,,,Scaffold,3,378064,,33.0,87.0,30,28,98.9,0.39,v1.2.3,PRJNA226436,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638635.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2508,GCA_000638655.1,Staphylococcus aureus C2706,sus scrofa,bodily fluid,,,,2706,,allpaths v. R48559,SAMN02391294,C2706,,,Scaffold,6,140948,,33.0,88.0,40,38,98.89,1.14,v1.2.3,PRJNA226420,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000638655.1,,Spain,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2509,GCA_000638675.1,Staphylococcus aureus C2928,homo sapiens,bodily fluid,,,,2747,,allpaths v. R48559,SAMN02391301,C2928,,,Scaffold,5,232911,,33.0,88.0,45,42,98.69,1.57,v1.2.3,PRJNA226427,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638675.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2510,GCA_000638695.1,Staphylococcus aureus C2930,homo sapiens,bodily fluid,,,,2660,,allpaths v. R48559,SAMN02391299,C2930,,,Scaffold,4,239907,,33.0,91.0,35,34,98.69,0.39,v1.2.3,PRJNA226425,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638695.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2511,GCA_000638735.1,Staphylococcus aureus C3489,canis lupus familiaris,bodily fluid,,,,2660,,allpaths v. R48559,SAMN02391281,C3489,,,Scaffold,4,272019,,33.0,90.0,46,45,98.88,0.74,v1.2.3,PRJNA226407,,canis lupus familiaris | bodily fluid,dog,bodily fluid,GCA_000638735.1,,Spain,,Bodily fluid,,Dog,,Nonhuman Mammal,,"Dog, Canis lupus familiaris",Canis lupus familiaris
2512,GCA_000638755.1,Staphylococcus aureus C3672,homo sapiens,bodily fluid,,,,2746,,allpaths v. R48559,SAMN02391303,C3672,,,Scaffold,7,137433,,33.0,90.0,46,43,97.81,0.43,v1.2.3,PRJNA226429,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638755.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2513,GCA_000638775.1,Staphylococcus aureus C3865,equus ferus caballus,bodily fluid,,,,2667,,allpaths v. R48559,SAMN02391283,C3865,,,Scaffold,6,138500,,33.0,87.0,36,35,98.69,0.42,v1.2.3,PRJNA226409,,equus ferus caballus | bodily fluid,horse,bodily fluid,GCA_000638775.1,,Spain,,Bodily fluid,,Horse,,Nonhuman Mammal,,"Horse, Equus caballus",Equus caballus
2514,GCA_000638795.1,Staphylococcus aureus C3965,homo sapiens,bodily fluid,,,,2551,,allpaths v. R48559,SAMN02391310,C3965,,,Scaffold,4,218298,,33.0,89.0,34,32,98.66,0.39,v1.2.3,PRJNA226437,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638795.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2515,GCA_000638815.1,Staphylococcus aureus C4151,homo sapiens,bodily fluid,,,,2609,,allpaths v. R48559,SAMN02391304,C4151,,,Scaffold,3,415956,,33.0,89.0,24,23,98.69,0.39,v1.2.3,PRJNA226430,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638815.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2516,GCA_000638835.1,Staphylococcus aureus C4155,homo sapiens,bodily fluid,,,,2580,,allpaths v. R48559,SAMN02391298,C4155,,,Scaffold,5,140611,,33.0,89.0,34,32,98.78,0.45,v1.2.3,PRJNA226424,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638835.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2517,GCA_000638855.1,Staphylococcus aureus C4668,equus ferus caballus,bodily fluid,,,,2639,,allpaths v. R48559,SAMN02391284,C4668,,,Scaffold,5,173263,,33.0,88.0,40,36,98.09,0.39,v1.2.3,PRJNA226410,,equus ferus caballus | bodily fluid,horse,bodily fluid,GCA_000638855.1,,Spain,,Bodily fluid,,Horse,,Nonhuman Mammal,,"Horse, Equus caballus",Equus caballus
2518,GCA_000638875.1,Staphylococcus aureus C5086,canis lupus familiaris,bodily fluid,,,,2556,,allpaths v. R48559,SAMN02391282,C5086,,,Scaffold,4,327440,,33.0,89.0,28,25,98.74,0.38,v1.2.3,PRJNA226408,,canis lupus familiaris | bodily fluid,dog,bodily fluid,GCA_000638875.1,,Spain,,Bodily fluid,,Dog,,Nonhuman Mammal,,"Dog, Canis lupus familiaris",Canis lupus familiaris
2519,GCA_000638895.1,Staphylococcus aureus C5453,homo sapiens,bodily fluid,,,,2614,,allpaths v. R48559,SAMN02391307,C5453,,,Scaffold,4,201437,,33.0,89.0,28,25,98.69,0.42,v1.2.3,PRJNA226434,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000638895.1,,Spain,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2520,GCA_000543305.1,Staphylococcus aureus CHAP6022,homo sapiens,wound,,,,2763,,allpaths v. R48275,SAMN02381841,CHAP6022,,,Scaffold,2,772591,,32.5,119.0,9,7,97.99,0.39,v1.2.3,PRJNA224084,,homo sapiens | wound,human,wound,GCA_000543305.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2521,GCA_000542945.1,Staphylococcus aureus CHAP6035,homo sapiens,wound,,,,2764,,allpaths v. R48275,SAMN02381788,CHAP6035,,,Scaffold,1,1474337,,32.5,109.0,10,9,97.99,0.39,v1.2.4,PRJNA224049,,homo sapiens | wound,human,wound,GCA_000542945.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2522,GCA_000538075.1,Staphylococcus aureus CHAP6049,homo sapiens,sputum,,,,2570,,allpaths v. R48275,SAMN02381433,CHAP6049,,,Scaffold,8,153762,,33.0,119.0,35,33,98.84,0.39,v1.2.4,PRJNA223692,,homo sapiens | sputum,human,sputum,GCA_000538075.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2523,GCA_000542965.1,Staphylococcus aureus CHAP6102,homo sapiens,wound,,,,2680,,allpaths v. R48275,SAMN02381790,CHAP6102,,,Scaffold,3,477842,,33.0,120.0,13,9,98.67,0.45,v1.2.4,PRJNA224051,,homo sapiens | wound,human,wound,GCA_000542965.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2524,GCA_000638915.1,Staphylococcus aureus Chi-10,gallus gallus,bodily fluid,,,,2721,,allpaths v. R48559,SAMN02391376,Chi-10,,,Scaffold,6,205940,,33.0,91.0,44,41,98.69,1.02,v1.2.3,PRJNA226504,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000638915.1,,Austria,,Food Product (ENVO:00002002); Chicken bodily fluid,,,,,,,
