Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCA_028804275.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2876	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531372	DC53316	NA	NA	Scaffold	4	292806	NA	32.5	100	24	22	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804285.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2871	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531373	DC53318	NA	NA	Scaffold	4	292806	NA	32.5	100	22	19	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804355.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2897	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531369	DC53313	NA	NA	Scaffold	6	199900	NA	32.5	100	44	32	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804375.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2873	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531371	DC53315	NA	NA	Scaffold	5	282563	NA	32.5	100	22	19	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804475.1	Staphylococcus aureus	NA	baked product	NA	NA	NA	2802	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531365	DC53289	NA	NA	Scaffold	2	302178	NA	32.5	100	33	32	98.24	0.99	v1.2.3	PRJNA917243	NA	baked product	food
GCA_028804485.1	Staphylococcus aureus	NA	baked product	NA	NA	NA	2807	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531364	DC53288	NA	NA	Scaffold	3	319569	NA	32.5	100	30	27	98.24	0.99	v1.2.3	PRJNA917243	NA	baked product	food
GCA_028804515.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2883	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531368	DC53311	NA	NA	Scaffold	3	355677	NA	32.5	100	28	27	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804575.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2798	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531363	DC53286	NA	NA	Scaffold	4	279126	NA	32.5	100	31	28	98.24	0.99	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804615.1	Staphylococcus aureus	homo sapiens	human:food poisoning	NA	NA	NA	2820	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531362	DC53284	NA	NA	Scaffold	3	319568	NA	32.5	100	45	43	98.24	1.14	v1.2.3	PRJNA917243	NA	homo sapiens | human:food poisoning	food
GCA_028804695.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2739	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531360	DC53243	NA	NA	Scaffold	3	319720	NA	32.5	100	13	11	98.24	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804755.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2805	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531355	DC53135	NA	NA	Scaffold	4	283436	NA	32.5	100	21	20	97.85	0.43	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028804765.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2738	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531354	DC53129	NA	NA	Scaffold	2	355738	NA	32.5	100	17	15	98.44	1.02	v1.2.3	PRJNA917243	NA	meat product	food
GCA_028804775.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2789	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531356	DC53159	NA	NA	Scaffold	2	418354	NA	32.5	100	18	16	97.85	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028804915.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2742	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531349	DC53053	NA	NA	Scaffold	3	319446	NA	32.5	100	14	12	98.44	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028804935.1	Staphylococcus aureus	NA	soy product	NA	NA	NA	2705	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531348	DC53050	NA	NA	Scaffold	2	422385	NA	32.5	100	13	12	98.44	0.43	v1.2.3	PRJNA917243	NA	soy product	food
GCA_028804955.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2800	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531347	DC53032	NA	NA	Scaffold	2	422502	NA	32.5	100	13	11	97.83	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804975.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2696	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531345	DC53011	NA	NA	Scaffold	2	422385	NA	32.5	100	13	12	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804985.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2801	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531346	DC53024	NA	NA	Scaffold	3	343970	NA	32.5	100	22	20	97.85	1.02	v1.2.3	PRJNA917243	NA	meat product	food
GCA_028805115.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2796	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531343	DC52980	NA	NA	Scaffold	3	335177	NA	32.5	100	19	18	98.33	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028805125.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2817	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531342	DC52966	NA	NA	Scaffold	2	422490	NA	32.5	100	15	13	98.32	0.96	v1.2.3	PRJNA917243	NA	meat product	food
GCA_028805135.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2802	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531344	DC53007	NA	NA	Scaffold	3	335006	NA	32.5	100	17	15	98.33	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028805215.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2731	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531340	DC52956	NA	NA	Scaffold	2	416410	NA	32.5	100	13	12	98.37	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028805225.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2813	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531341	DC52965	NA	NA	Scaffold	5	274981	NA	32.5	100	18	15	98.25	1.02	v1.2.3	PRJNA917243	NA	meat product	food
GCA_028805315.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2794	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531338	DC52950	NA	NA	Scaffold	3	319744	NA	32.5	100	18	17	98.37	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028805325.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2798	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531339	DC52953	NA	NA	Scaffold	3	302179	NA	32.5	100	26	23	98.29	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028805355.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2792	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531337	DC52945	NA	NA	Scaffold	4	284577	NA	32.5	100	18	17	97.64	1.02	v1.2.3	PRJNA917243	NA	meat product	food
GCA_028805395.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2801	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531335	DC52929	NA	NA	Scaffold	3	319949	NA	32.5	100	18	17	98.29	1.02	v1.2.3	PRJNA917243	NA	meat product	food
GCA_028805425.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2802	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531336	DC52930	NA	NA	Scaffold	4	334303	NA	32.5	100	16	15	97.64	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028805515.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2721	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531334	DC52928	NA	NA	Scaffold	3	319020	NA	32.5	100	14	12	98.08	0.43	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028805675.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2816	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531329	DC52890	NA	NA	Scaffold	2	767288	NA	32.5	100	19	18	98.35	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028805745.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2736	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531328	DC52254	NA	NA	Scaffold	5	255758	NA	32.5	100	31	14	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028805855.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2810	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531326	DC52251	NA	NA	Scaffold	3	320076	NA	32.5	100	28	16	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028806155.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2886	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531317	DC52153	NA	NA	Scaffold	5	283297	NA	32.5	100	33	23	98.39	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028806235.1	Staphylococcus aureus	NA	vegetable product	NA	NA	NA	2867	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531315	DC52150	NA	NA	Scaffold	5	185474	NA	33	100	41	19	98.44	1.02	v1.2.3	PRJNA917243	NA	vegetable product	NA
GCA_028806255.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2809	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531316	DC52151	NA	NA	Scaffold	5	257217	NA	32.5	100	29	14	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028806535.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2815	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531309	DC51899	NA	NA	Scaffold	3	319582	NA	32.5	100	40	32	98.1	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028806665.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2810	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531305	42019	NA	NA	Scaffold	4	317053	NA	32.5	100	20	18	98.44	1.09	v1.2.3	PRJNA917243	NA	meat product	food
GCA_029011215.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2670	Best-placed reference protein set; GeneMarkS-2+	trycycler v. v0.4.1	SAMN33275458	VSI56	NA	NA	Complete Genome	1	2698209	NA	33	42.0185	2	2	98.74	0.39	v1.2.3	PRJNA934404	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCA_029078485.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2790	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531394	DC900087	NA	NA	Scaffold	4	316636	NA	32.5	100	19	17	98.63	0.43	v1.2.4	PRJNA917243	NA	meat	food
GCA_029078525.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2892	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531382	DC53370	NA	NA	Scaffold	5	262255	NA	32.5	100	46	42	98.32	1.02	v1.2.4	PRJNA917243	NA	meat	food
GCA_029078605.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2733	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531359	DC53214	NA	NA	Scaffold	3	319722	NA	32.5	100	20	19	97.81	1.02	v1.2.4	PRJNA917243	NA	meat	food
GCA_029078625.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2814	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531358	DC53212	NA	NA	Scaffold	2	547007	NA	32.5	100	36	35	98.4	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_029078665.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2785	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531357	DC53176	NA	NA	Scaffold	3	318876	NA	32.5	100	20	18	97.73	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_029094145.1	Staphylococcus aureus	NA	eqa test strain	NA	NA	NA	2915	Best-placed reference protein set; GeneMarkS-2+	Microbial Genome Analysis v. SMRT Link 11.0.0.146107	SAMN33425966	GENOMIC22-002	NA	NA	Complete Genome	1	2908596	NA	33	700	3	3	97.71	1.05	v1.2.3	PRJNA541975	NA	eqa test strain	NA
GCA_029094305.1	Staphylococcus aureus	NA	eqa test strain	NA	NA	NA	2938	Best-placed reference protein set; GeneMarkS-2+	Microbial Assembly v. SMRTLink v.11	SAMN33425965	GENOMIC22-001	NA	NA	Complete Genome	1	2882260	NA	33	100	4	4	98.36	0.41	v1.2.3	PRJNA541975	NA	eqa test strain	NA
GCA_029167685.1	Staphylococcus aureus	swine	pork	NA	NA	NA	2927	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v. 4.0	SAMN24529927	GD4SA159-1	NA	NA	Complete Genome	1	2910323	NA	33	1006	2	2	97.29	0.48	v1.2.3	PRJNA793117	NA	swine | pork	food
GCA_029167705.1	Staphylococcus aureus	swine	NA	NA	NA	NA	2793	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v. 4.0	SAMN24529930	GD4SA108-1	NA	NA	Complete Genome	1	2864441	NA	33	1006	1	1	97.29	0.41	v1.2.3	PRJNA793117	NA	swine	pig
GCA_029204095.1	Staphylococcus aureus	homo sapiens	sputum	NA	NA	NA	2804	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN33573402	N09HSA11	NA	NA	Complete Genome	1	2826243	NA	33	100	2	2	98.37	0.44	v1.2.3	PRJNA940516	NA	homo sapiens | sputum	human
GCA_029204125.1	Staphylococcus aureus	homo sapiens	secretion	NA	NA	NA	2811	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN33573403	N28CSA05	NA	NA	Complete Genome	1	2835978	NA	33	100	1	1	98.27	0.61	v1.2.3	PRJNA940516	NA	homo sapiens | secretion	human
GCA_029204145.1	Staphylococcus aureus	homo sapiens	pus	NA	NA	NA	2902	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN33573404	N29CSA02	NA	NA	Complete Genome	1	2855262	NA	33	100	3	3	98.43	0.92	v1.2.3	PRJNA940516	NA	homo sapiens | pus	human
GCA_029204165.1	Staphylococcus aureus	homo sapiens	secretion	NA	NA	NA	2805	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN33573405	N29CSA11	NA	NA	Complete Genome	1	2798125	NA	33	100	3	3	98.43	0.8	v1.2.3	PRJNA940516	NA	homo sapiens | secretion	human
GCA_029269035.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2860	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531351	DC53076	NA	NA	Scaffold	3	410845	NA	32.5	100	37	33	98.44	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_029269045.1	Staphylococcus aureus	NA	fruit product	NA	NA	NA	2802	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531353	DC53124	NA	NA	Scaffold	3	319749	NA	32.5	100	15	13	98.34	1.02	v1.2.3	PRJNA917243	NA	fruit product	NA
GCA_029269055.1	Staphylococcus aureus	NA	meat product	NA	NA	NA	2868	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531352	DC53082	NA	NA	Scaffold	4	292611	NA	32.5	100	32	31	98.34	1.02	v1.2.3	PRJNA917243	NA	meat product	food
GCA_029269115.1	Staphylococcus aureus	NA	soy product	NA	NA	NA	2745	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531350	DC53074	NA	NA	Scaffold	3	422397	NA	32.5	100	16	14	98.24	1.02	v1.2.3	PRJNA917243	NA	soy product	food
GCA_029278505.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2912	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN33695180	N08CSA36	NA	NA	Complete Genome	1	2889782	NA	33	100	1	1	97.85	0.61	v1.2.3	PRJNA940516	NA	homo sapiens	human
GCA_029526755.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2860	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 12	SAMN26874072	18_S18	NA	NA	Scaffold	6	154222	NA	32.5	52	32	31	98.02	0.73	v1.2.3	PRJNA796552	NA	cow | milk sample	cow
GCA_029526765.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2837	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 12	SAMN26874071	15_S14	NA	NA	Scaffold	5	220439	NA	32.5	1524	27	25	97.95	0.78	v1.2.3	PRJNA796552	NA	cow | milk sample	cow
GCA_029526815.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2863	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 12	SAMN26874073	1824L	NA	NA	Scaffold	3	325665	NA	32.5	1634	25	24	97.99	0.78	v1.2.3	PRJNA796552	NA	cow | milk sample	cow
GCA_029526825.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2834	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 12	SAMN26874070	14_S13	NA	NA	Scaffold	5	218854	NA	32.5	1528	30	28	98.02	0.78	v1.2.3	PRJNA796552	NA	cow | milk sample	cow
GCA_029526855.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2852	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 12	SAMN26874069	13Sons	NA	NA	Scaffold	4	239165	NA	32.5	1503	26	24	97.4	0.78	v1.2.3	PRJNA796552	NA	cow | milk sample	cow
GCA_029526865.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2691	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 12	SAMN26874068	8_S11	NA	NA	Scaffold	5	241232	NA	32.5	1072	18	12	98.13	0.39	v1.2.3	PRJNA796552	NA	cow | milk sample	cow
GCA_029625375.1	Staphylococcus aureus	homo sapiens	eccrine	NA	NA	NA	2998	Best-placed reference protein set; GeneMarkS-2+	Hifiasm v. 0.13-r308; Canu v. 1.7	SAMN33961605	SA0907	NA	NA	Complete Genome	1	2981436	NA	33	127.18	3	3	97.49	0.39	v1.2.3	PRJNA949857	NA	homo sapiens | eccrine	human
GCA_029634715.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2882	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v0.4.8-beta	SAMN27064693	1824	NA	NA	Complete Genome	1	2871168	NA	33	NA	1	1	97.99	0.78	v1.2.3	PRJNA821261	NA	cow | milk sample	cow
GCA_029634735.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2880	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v0.4.8-beta	SAMN27064692	18	NA	NA	Complete Genome	1	2870995	NA	33	NA	1	1	98.02	0.73	v1.2.3	PRJNA821261	NA	cow | milk sample	cow
GCA_029634765.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2860	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v0.4.8-beta	SAMN27064691	15	NA	NA	Complete Genome	1	2856558	NA	33	NA	1	1	97.95	0.78	v1.2.3	PRJNA821261	NA	cow | milk sample	cow
GCA_029634785.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2866	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v0.4.8-beta	SAMN27064690	14	NA	NA	Complete Genome	1	2856550	NA	33	NA	1	1	98.02	0.78	v1.2.3	PRJNA821261	NA	cow | milk sample	cow
GCA_029634905.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2888	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v0.4.8-beta	SAMN27064689	13	NA	NA	Complete Genome	1	2872257	NA	33	NA	1	1	97.4	0.78	v1.2.3	PRJNA821261	NA	cow | milk sample	cow
GCA_029635105.1	Staphylococcus aureus	cow	milk sample	NA	NA	NA	2701	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v0.4.8-beta	SAMN27064688	8	NA	NA	Complete Genome	1	2750784	NA	33	NA	1	1	98.13	0.39	v1.2.3	PRJNA821261	NA	cow | milk sample	cow
GCA_029852205.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2882	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03892962	por21	NA	NA	Scaffold	2	726457	NA	33	128	6	2	98.87	0.39	v1.2.3	PRJNA290551	NA	homo sapiens | nasal carriage	human
GCA_029852215.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2875	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03892861	chock11	NA	NA	Scaffold	2	881251	NA	33	167	5	2	97.57	0.42	v1.2.3	PRJNA290551	NA	homo sapiens | blood	human
GCA_029852255.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2852	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03892928	chock17	NA	NA	Scaffold	3	316144	NA	32.5	160	14	4	98.35	0.33	v1.2.3	PRJNA290551	NA	homo sapiens | blood	human
GCA_029852265.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2952	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03892993	por23	NA	NA	Scaffold	2	881735	NA	33	215	10	3	97.44	0.57	v1.2.3	PRJNA290551	NA	homo sapiens | nasal carriage	human
GCA_029852305.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2899	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03893089	porL102	NA	NA	Scaffold	1	1740157	NA	32.5	342	3	2	98.36	0.39	v1.2.3	PRJNA290551	NA	homo sapiens | nasal carriage	human
GCA_029852315.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2809	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03893208	seps52	NA	NA	Scaffold	2	749319	NA	32.5	103	7	5	98.03	0.68	v1.2.3	PRJNA290551	NA	homo sapiens | blood	human
GCA_029852345.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2818	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03893090	porL45	NA	NA	Scaffold	2	520333	NA	33	120	8	3	98.85	0.42	v1.2.3	PRJNA290551	NA	homo sapiens | nasal carriage	human
GCA_029852355.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2979	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03893199	seps43	NA	NA	Scaffold	1	1451354	NA	32.5	152	5	2	97.79	0.42	v1.2.3	PRJNA290551	NA	homo sapiens | blood	human
GCA_029852405.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2833	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03893227	seps86	NA	NA	Scaffold	1	1405946	NA	32.5	264	4	2	96.72	0.68	v1.2.3	PRJNA290551	NA	homo sapiens | blood	human
GCA_029852425.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2729	Best-placed reference protein set; GeneMarkS+	spades v. 3.1	SAMN03892929	chock30	NA	NA	Scaffold	1	1405566	NA	33	158	10	2	98.84	0.39	v1.2.3	PRJNA290551	NA	homo sapiens | blood	human
GCA_029852455.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	3034	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605517	Van023-SW	NA	NA	Scaffold	2	983558	NA	32.5	210	4	2	98.06	0.47	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_029852465.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2888	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605650	Seps9	NA	NA	Scaffold	4	310513	NA	32.5	218	40	2	97.22	0.42	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_029852505.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2854	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605559	P2155	NA	NA	Scaffold	3	448757	NA	32.5	258	29	2	98.54	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_029852525.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2813	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605578	P310	NA	NA	Scaffold	3	364648	NA	32.5	121	22	2	97.41	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_029852545.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2858	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605707	Seps54	NA	NA	Scaffold	3	420891	NA	32.5	112	31	2	97.33	0.42	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_029852565.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2903	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04606927	Sepsthom	NA	NA	Scaffold	4	315773	NA	32.5	152	33	2	96.71	0.42	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_029852575.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2901	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605710	Seps100	NA	NA	Scaffold	3	358558	NA	32.5	157	24	2	97.47	0.42	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_029852605.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2908	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04606869	Sepsgal	NA	NA	Scaffold	4	273115	NA	32.5	112	27	3	97.91	0.42	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_029852625.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2963	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.6	SAMN04605674	Seps20	NA	NA	Scaffold	4	304614	NA	32.5	162	30	2	97.89	0.42	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
