Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCA_031571475.1	Staphylococcus aureus	Homo sapiens	not collected				2873	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473899	SA01342			Scaffold	7	128265		33	120	82	81	98.12	1.09	v1.2.4	PRJNA278295	
GCA_031572575.1	Staphylococcus aureus	Homo sapiens	not collected				3111	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473900	SA04759			Scaffold	9	127622		33	120	89	85	98.3	5.87	v1.2.4	PRJNA278295	
GCA_031572695.1	Staphylococcus aureus	Homo sapiens	not collected				2905	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473901	SA00744			Scaffold	5	162428		33	120	83	78	98.7	2.66	v1.2.4	PRJNA278295	
GCA_031572735.1	Staphylococcus aureus	Homo sapiens	not collected				2950	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473902	SA01158			Scaffold	8	153912		33	100	68	66	98.72	2.44	v1.2.4	PRJNA278295	
GCA_031572745.1	Staphylococcus aureus	Homo sapiens	not collected				3060	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473903	SA01716			Scaffold	6	162820		33	180	82	77	98.75	5.7	v1.2.4	PRJNA278295	
GCA_031572805.1	Staphylococcus aureus	Homo sapiens	not collected				2797	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473905	SA08477			Scaffold	4	198776		33	100	65	63	97.52	2.89	v1.2.4	PRJNA278295	
GCA_031572845.1	Staphylococcus aureus	Homo sapiens	not collected				2764	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473906	SA08478			Scaffold	5	150761		33	100	59	58	97.72	2.37	v1.2.4	PRJNA278295	
GCA_031572955.1	Staphylococcus aureus	Homo sapiens	not collected				3106	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473911	SA03463			Scaffold	6	148111		33	140	63	62	95.83	4.61	v1.2.4	PRJNA278295	
GCA_031572965.1	Staphylococcus aureus	Homo sapiens	not collected				3073	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473912	SA03488			Scaffold	5	175176		33	140	70	64	97.92	2.28	v1.2.4	PRJNA278295	
GCA_031572975.1	Staphylococcus aureus	Homo sapiens	not collected				3070	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473907	SA03522			Scaffold	7	132931		33	100	93	90	98.38	1.64	v1.2.4	PRJNA278295	
GCA_031573015.1	Staphylococcus aureus	Homo sapiens	not collected				3285	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473914	SA10043			Scaffold	8	127722		33	100	98	93	98.09	3.68	v1.2.4	PRJNA278295	
GCA_031573025.1	Staphylococcus aureus	Homo sapiens	not collected				3179	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473913	SA03208			Scaffold	5	211305		33	100	80	77	97.36	1.48	v1.2.4	PRJNA278295	
GCA_031573075.1	Staphylococcus aureus	Homo sapiens	not collected				3266	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473915	SA10039			Scaffold	7	196831		32.5	160	87	86	98.03	3.08	v1.2.4	PRJNA278295	
GCA_031573105.1	Staphylococcus aureus	Homo sapiens	not collected				3001	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473918	SA10034			Scaffold	8	108252		33	100	96	91	98.12	1.14	v1.2.4	PRJNA278295	
GCA_031573115.1	Staphylococcus aureus	Homo sapiens	not collected				3220	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473916	SA10037			Scaffold	6	176107		33	100	75	72	98.13	2.21	v1.2.4	PRJNA278295	
GCA_031573145.1	Staphylococcus aureus	Homo sapiens	not collected				3164	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473919	SA10038			Scaffold	8	148980		32.5	100	88	85	96.92	2.01	v1.2.4	PRJNA278295	
GCA_031573175.1	Staphylococcus aureus	Homo sapiens	not collected				3142	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473921	SA10035			Scaffold	5	242870		32.5	160	81	79	97.7	0.73	v1.2.4	PRJNA278295	
GCA_031573185.1	Staphylococcus aureus	Homo sapiens	not collected				2844	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473923	SA09991			Scaffold	3	268625		33	100	63	61	97.69	4.12	v1.2.4	PRJNA278295	
GCA_031573195.1	Staphylococcus aureus	Homo sapiens	not collected				3195	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473920	SA10036			Scaffold	7	207508		33	120	77	75	98.13	2.14	v1.2.4	PRJNA278295	
GCA_031573235.1	Staphylococcus aureus	Homo sapiens	not collected				3163	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473924	SA09968			Scaffold	5	192247		33	120	72	71	97.73	11.93	v1.2.4	PRJNA278295	
GCA_031573255.1	Staphylococcus aureus	Homo sapiens	not collected				2805	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473927	SA09983			Scaffold	3	407392		33	120	64	62	97.99	2.56	v1.2.4	PRJNA278295	
GCA_031573265.1	Staphylococcus aureus	Homo sapiens	not collected				2897	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473925	SA09975			Scaffold	5	256395		33	120	54	53	98.08	2.38	v1.2.4	PRJNA278295	
GCA_031573295.1	Staphylococcus aureus	Homo sapiens	not collected				2881	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473928	SA09973			Scaffold	5	201796		33	120	68	65	98.43	1.02	v1.2.4	PRJNA278295	
GCA_031573305.1	Staphylococcus aureus	Homo sapiens	not collected				3204	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473922	SA10032			Scaffold	8	144257		33	120	64	61	98.26	3.33	v1.2.4	PRJNA278295	
GCA_031573325.1	Staphylococcus aureus	Homo sapiens	not collected				2890	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473926	SA09995			Scaffold	4	270767		33	100	73	71	97.61	2.87	v1.2.4	PRJNA278295	
GCA_031583045.1	Staphylococcus aureus		cabbage				2662	Best-placed reference protein set; GeneMarkS-2+	SMRTlink v. 11	SAMN37322364	63			Complete Genome	1	2683381		33	393.4	2	2	98.78	0.98	v1.2.4	PRJNA1014244	
GCA_031583105.1	Staphylococcus aureus	-			Keywords: GSC:MIxS;MIGS:6.0		2759	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12.0	SAMN37344193	4233			Complete Genome	1	2790390		33	120	1	1	98.72	0.39	v1.2.4	PRJNA1014944	
GCA_031631235.1	Staphylococcus aureus	Homo sapiens	not collected				2864	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473894	SA04715			Scaffold	6	170552		33	120	90	87	98	1.07	v1.2.4	PRJNA278295	
GCA_031631295.1	Staphylococcus aureus	Homo sapiens	not collected				2868	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473895	SA04724			Scaffold	9	127652		33	80	92	89	97.53	0.91	v1.2.4	PRJNA278295	
GCA_031631355.1	Staphylococcus aureus	Homo sapiens	not collected				3021	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473908	SA03499			Scaffold	4	297213		33	100	77	74	97.99	0.63	v1.2.4	PRJNA278295	
GCA_031631395.1	Staphylococcus aureus	Homo sapiens	not collected				3175	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473897	SA04604			Scaffold	6	154504		33	100	103	98	97.48	5.92	v1.2.4	PRJNA278295	
GCA_031631435.1	Staphylococcus aureus	Homo sapiens	not collected				3201	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473909	SA03555			Scaffold	6	168670		33	100	77	76	98.02	12.55	v1.2.4	PRJNA278295	
GCA_032077755.1	Staphylococcus aureus		lettuce				2954	Best-placed reference protein set; GeneMarkS-2+	SMRTlink v. 8	SAMN37447445	10-5-1			Complete Genome	1	2930406		33	398.5	1	1	97.65	0.68	v1.2.4	PRJNA1018687	
GCA_032474595.1	Staphylococcus aureus		infant feces		Keywords: GSC:MIxS;MIMAG:6.0		2726	Best-placed reference protein set; GeneMarkS-2+	IDBA_UD v. v. 1.1.1	SAMN11390295				Scaffold	10	84476		33	97.18	81	77				PRJNA294605	
GCA_032507705.1	Staphylococcus aureus		infant feces		Keywords: GSC:MIxS;MIMAG:6.0		2977	Best-placed reference protein set; GeneMarkS-2+	IDBA_UD v. v. 1.1.1	SAMN11391129				Scaffold	11	73603		32.5	24.2	125	124				PRJNA294605	
GCA_032511245.1	Staphylococcus aureus		infant feces		Keywords: GSC:MIxS;MIMAG:6.0		2582	Best-placed reference protein set; GeneMarkS-2+	IDBA_UD v. v. 1.1.1	SAMN11391310				Scaffold	5	184496		32.5	507.14	34	33				PRJNA294605	
GCA_032512075.1	Staphylococcus aureus		infant feces		Keywords: GSC:MIxS;MIMAG:6.0		2966	Best-placed reference protein set; GeneMarkS-2+	IDBA_UD v. v. 1.1.1	SAMN11391289				Scaffold	5	145219		32.5	520.17	60	59				PRJNA294605	
GCA_032547245.1	Staphylococcus aureus		infant feces		Keywords: GSC:MIxS;MIMAG:6.0		2680	Best-placed reference protein set; GeneMarkS-2+	IDBA_UD v. v. 1.1.1	SAMN11389255				Scaffold	7	109076		32.5	147.16	56	55				PRJNA294605	
GCA_032584015.1	Staphylococcus aureus	Homo sapiens					2733	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN37704151	2189			Scaffold	11	78143		32.5	20	88	80	97.91	0.3	v1.2.3	PRJNA1024886	
GCA_032584055.1	Staphylococcus aureus	Homo sapiens					2758	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN37704163	2213			Scaffold	7	145034		32.5	20	77	70	98.51	0.39	v1.2.3	PRJNA1024889	
GCA_032764935.1	Staphylococcus aureus		laboratory reference strain with phage 11				2713	Best-placed reference protein set; GeneMarkS-2+	BWA-MEM to reference genome SUB11431136 using PATRIC v. Dec-2021	SAMN28093384	JP18269			Complete Genome	1	2732583		33	81	1	1	98.47	0.39	v1.2.4	PRJNA835099	
GCA_032765935.1	Staphylococcus aureus		laboratory reference strain with phage 80alpha				2711	Best-placed reference protein set; GeneMarkS-2+	BWA-MEM to reference genome SUB11431136 using PATRIC v. Dec-2021	SAMN28093403	JP18270			Complete Genome	1	2732260		33	75	1	1	97.88	0.39	v1.2.4	PRJNA835099	
GCA_032808505.1	Staphylococcus aureus	Homo sapiens	University of Catania				2938	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.7.1; Medaka v. 0.7.1; Pilon v. 1.22	SAMN37705137	BAA-1556_Catania_SCV			Complete Genome	1	2878871		32.5	181	4	4	97.92	0.39	v1.2.3	PRJNA912391	
GCA_032809245.1	Staphylococcus aureus	Homo sapiens	University of Catania				2940	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.7.1; Medaka v. 0.7.1; Pilon v. 1.22	SAMN37705136	BAA-1556_Catania			Complete Genome	1	2878871		32.5	85	4	4	97.99	0.39	v1.2.3	PRJNA912391	
GCA_033022915.1	Staphylococcus aureus	Homo sapiens	Burn wound				2808	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. 2.04	SAMN37687829	B96			Scaffold	2	442199		32.5	385.96	24	24	98.47	0.94	v1.2.5	PRJNA1024061	
GCA_033061535.1	Staphylococcus aureus	Bos taurus			BC00107		2692	Best-placed reference protein set; GeneMarkS-2+	Trycycler v. 0.5.4	SAMEA112648784	ST5477			Complete Genome	1	2723132		33	115	2	2	97.72	0.68	v1.2.3	PRJEB59926	
GCA_033442285.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2980	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365343	SA1523			Complete Genome	1	2941353		33	180	1	1				PRJNA1015705	
GCA_033442305.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2934	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365330	SA575			Complete Genome	1	2913620		33	79	1	1				PRJNA1015705	
GCA_033442405.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2694	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365327	SA1602			Complete Genome	1	2730784		33	211	1	1				PRJNA1015705	
GCA_033443145.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2734	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365325	SA1471			Complete Genome	1	2771275		33	199	1	1				PRJNA1015705	
GCA_033443425.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2623	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365326	SA1646			Complete Genome	1	2686508		33	194	1	1				PRJNA1015705	
GCA_033443465.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2867	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365321	SA1197			Complete Genome	1	2873239		33	190	1	1				PRJNA1015705	
GCA_033443645.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2720	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365316	SA1081			Complete Genome	1	2740408		33	64	1	1				PRJNA1015705	
GCA_033443705.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2755	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365313	SA962			Complete Genome	1	2781462		33	78	1	1				PRJNA1015705	
GCA_033444245.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2898	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365302	SA328			Complete Genome	1	2893738		33	90	1	1				PRJNA1015705	
GCA_033444505.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				3003	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365300	SA283			Complete Genome	1	2951904		33	83	1	1				PRJNA1015705	
GCA_033444565.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2629	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365298	SA2205			Complete Genome	1	2681723		33	80	1	1				PRJNA1015705	
GCA_033444605.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2638	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365297	SA2166			Complete Genome	1	2689085		33	137	1	1				PRJNA1015705	
GCA_033444825.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2623	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365290	SA1731			Complete Genome	1	2686508		33	96	1	1				PRJNA1015705	
GCA_033445065.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2694	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365289	SA1585			Complete Genome	1	2730764		33	92	1	1				PRJNA1015705	
GCA_033445445.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2700	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365288	SA1575			Complete Genome	1	2745247		33	87	1	1				PRJNA1015705	
GCA_033445905.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2980	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365286	SA1520			Complete Genome	1	2941349		33	89	1	1				PRJNA1015705	
GCA_033445925.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2661	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365281	SA1395			Complete Genome	1	2697701		33	93	1	1				PRJNA1015705	
GCA_033445945.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2717	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365265	SA672			Complete Genome	1	2755666		33	99	1	1				PRJNA1015705	
GCA_033445965.1	Staphylococcus aureus	Homo sapiens	Cutaneous wound				2779	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN37365261	SA2109			Complete Genome	1	2754392		33	74	1	1				PRJNA1015705	
GCA_033798685.1	Staphylococcus aureus	Capra aegagrus hircus	screening				2815	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.8.3-b1695 to 2.9.1-b1780	SAMN38153150	17CS1042			Complete Genome	1	2827946		33	61	1	1	95.6	0.39	v1.2.3	PRJNA1036839	
GCA_033798745.1	Staphylococcus aureus	Anas platyrhynchos domesticus	clinical				2816	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.8.3-b1695 to 2.9.1-b1780	SAMN38153149	V482			Complete Genome	1	2859205		33	100	1	1	92.71	0.48	v1.2.3	PRJNA1036839	
GCA_033798765.1	Staphylococcus aureus	Anas platyrhynchos domesticus	clinical				2745	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.8.3-b1695 to 2.9.1-b1780	SAMN38153148	V315			Complete Genome	1	2792515		33	270	1	1	97.78	0.87	v1.2.3	PRJNA1036839	
GCA_033798785.1	Staphylococcus aureus	Cygnus olor	clinical				2797	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.8.3-b1695 to 2.9.1-b1780	SAMN38153147	15V8707			Complete Genome	1	2829216		33	166	1	1	97.88	0.78	v1.2.3	PRJNA1036839	
GCA_033802645.2	Staphylococcus aureus	Homo sapiens	sputum				2872	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN23417368	SATU135			Complete Genome	1	2821845		33	79	3	3	98.53	0.39	v1.2.3	PRJNA781402	
GCA_033952345.2	Staphylococcus aureus	Homo sapiens	blood		aliases: B0623, R11077. Other isolates from the same patient: BSN53-2		2980	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38334799	BSN53			Complete Genome	1	2907091		33	87	3	3	97.94	0.39	v1.2.3	PRJNA978117	
GCA_033985435.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0626, R11478. Other isolates from the same patient: BSN54		3072	Best-placed reference protein set; GeneMarkS-2+	SKESA v. 2.2	SAMN38335111	BSN54-2			Scaffold	3	282703		33	100	48	48	98.13	0.58	v1.2.3	PRJNA978117	
GCA_033985535.2	Staphylococcus aureus	Homo sapiens	blood		aliases: B0625, R11085. Other isolates from the same patient: BSN54-2		3062	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38335110	BSN54			Complete Genome	1	2967495		33	178	4	4	98.13	0.58	v1.2.4	PRJNA978117	
GCA_034013695.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2824	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696768	Dog023			Complete Genome	1	2783582		33	328	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034014015.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696767	Dog022			Complete Genome	1	2783683		33	388	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034014575.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2829	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696765	Dog020			Complete Genome	1	2783642		33	260	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034015615.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2787	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696764	Dog019			Complete Genome	1	2783770		33	515	2	2	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034016595.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2829	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696760	Dog014			Complete Genome	1	2783708		33	199	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034017875.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2830	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696752	Dog006			Complete Genome	1	2783683		33	229	2	2	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034020215.1	Staphylococcus aureus	Canis lupus familiaris	mouth swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696749	Dog002_mouth			Complete Genome	1	2783698		33	320	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034022875.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696748	Dog002			Complete Genome	1	2783700		33	395	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034023835.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2832	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696791	Dog053			Complete Genome	1	2783699		33	242	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034024715.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696807	Dog119			Complete Genome	1	2783770		33	529	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034028035.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2769	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696802	Dog112			Complete Genome	1	2743362		33	316	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034028795.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696801	Dog111			Complete Genome	1	2783002		33	799	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034029575.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2860	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696800	Dog110			Complete Genome	1	2784917		33	396	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034032775.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2836	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696796	Dog105			Complete Genome	1	2783699		33	281	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034033475.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2829	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696795	Dog103			Complete Genome	1	2783696		33	331	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034034275.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696793	Dog101			Complete Genome	1	2783643		33	302	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034035055.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2834	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696792	Dog100			Complete Genome	1	2783696		33	262	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034035835.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2832	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696790	Dog052			Complete Genome	1	2783698		33	309	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034036855.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2722	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696789	Dog049			Complete Genome	1	2745352		33	251	1	1	98.75	0.62	v1.2.3	PRJNA942599	
GCA_034040575.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2830	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696785	Dog044			Complete Genome	1	2783848		33	218	2	2	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034041215.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2823	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696784	Dog043			Complete Genome	1	2783847		33	574	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034042675.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2797	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696779	Dog035_1			Complete Genome	1	2782558		33	191	2	2	97.97	0.75	v1.2.3	PRJNA942599	
GCA_034042695.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2759	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696778	Dog032			Complete Genome	1	2741006		33	454	3	3	97.77	0.45	v1.2.3	PRJNA942599	
